"","Dog_5_preict_001.V10"
"1",57
"2",51
"3",-58
"4",-21
"5",7
"6",-45
"7",26
"8",44
"9",-44
"10",68
"11",17
"12",-15
"13",21
"14",22
"15",21
"16",-141
"17",3
"18",-27
"19",133
"20",-73
"21",-93
"22",-18
"23",-40
"24",11
"25",-76
"26",2
"27",96
"28",-156
"29",21
"30",79
"31",-28
"32",-56
"33",-5
"34",143
"35",-71
"36",-50
"37",26
"38",91
"39",-26
"40",-9
"41",30
"42",2
"43",-63
"44",44
"45",74
"46",3
"47",14
"48",38
"49",-51
"50",63
"51",10
"52",21
"53",-104
"54",53
"55",80
"56",-90
"57",24
"58",9
"59",61
"60",-87
"61",79
"62",19
"63",-8
"64",-16
"65",-12
"66",-42
"67",65
"68",-6
"69",-65
"70",-14
"71",-65
"72",-36
"73",-29
"74",6
"75",31
"76",-39
"77",44
"78",-54
"79",21
"80",57
"81",-18
"82",74
"83",-32
"84",11
"85",-3
"86",-14
"87",28
"88",-50
"89",90
"90",-81
"91",107
"92",-70
"93",12
"94",-38
"95",128
"96",-67
"97",35
"98",-24
"99",55
"100",-65
"101",-70
"102",12
"103",-62
"104",2
"105",33
"106",37
"107",62
"108",-48
"109",-24
"110",99
"111",6
"112",6
"113",12
"114",55
"115",-75
"116",3
"117",17
"118",-22
"119",43
"120",-92
"121",-6
"122",58
"123",-16
"124",-39
"125",30
"126",122
"127",-8
"128",69
"129",-41
"130",23
"131",-22
"132",-14
"133",20
"134",54
"135",-48
"136",-73
"137",56
"138",42
"139",14
"140",211
"141",-165
"142",139
"143",-3
"144",-70
"145",21
"146",-30
"147",-34
"148",-9
"149",34
"150",-30
"151",-85
"152",-56
"153",9
"154",-33
"155",35
"156",34
"157",38
"158",-6
"159",9
"160",-14
"161",58
"162",15
"163",57
"164",25
"165",-79
"166",-9
"167",12
"168",-12
"169",39
"170",-13
"171",-5
"172",24
"173",3
"174",48
"175",14
"176",18
"177",29
"178",24
"179",-23
"180",-17
"181",14
"182",18
"183",10
"184",53
"185",29
"186",20
"187",158
"188",-127
"189",-131
"190",10
"191",133
"192",-63
"193",61
"194",-58
"195",34
"196",50
"197",-44
"198",14
"199",-49
"200",185
"201",-65
"202",-61
"203",-10
"204",89
"205",-147
"206",1
"207",21
"208",-39
"209",15
"210",3
"211",-20
"212",36
"213",45
"214",10
"215",-7
"216",110
"217",-168
"218",-41
"219",86
"220",-19
"221",31
"222",8
"223",-44
"224",-60
"225",75
"226",2
"227",-16
"228",34
"229",-38
"230",-36
"231",37
"232",54
"233",-110
"234",-106
"235",46
"236",40
"237",87
"238",-76
"239",-22
"240",22
"241",-81
"242",-24
"243",115
"244",-107
"245",48
"246",68
"247",14
"248",54
"249",-75
"250",40
"251",-39
"252",23
"253",-11
"254",-10
"255",-33
"256",1
"257",3
"258",-12
"259",-24
"260",10
"261",26
"262",9
"263",-3
"264",-11
"265",-1
"266",17
"267",47
"268",2
"269",11
"270",-15
"271",45
"272",3
"273",-43
"274",19
"275",-11
"276",8
"277",0
"278",-30
"279",12
"280",-20
"281",49
"282",49
"283",-9
"284",-12
"285",-8
"286",54
"287",55
"288",30
"289",111
"290",-93
"291",70
"292",-16
"293",12
"294",-7
"295",92
"296",-31
"297",-3
"298",-30
"299",-42
"300",3
"301",-10
"302",-24
"303",-5
"304",-34
"305",44
"306",14
"307",23
"308",-40
"309",-40
"310",62
"311",-52
"312",6
"313",-33
"314",-51
"315",-44
"316",4
"317",1
"318",-33
"319",-38
"320",-13
"321",17
"322",9
"323",7
"324",-50
"325",-100
"326",-54
"327",208
"328",-123
"329",8
"330",92
"331",-14
"332",21
"333",30
"334",51
"335",45
"336",70
"337",22
"338",-13
"339",3
"340",28
"341",41
"342",46
"343",59
"344",9
"345",-28
"346",-9
"347",21
"348",62
"349",35
"350",18
"351",19
"352",63
"353",63
"354",38
"355",29
"356",-34
"357",11
"358",30
"359",30
"360",22
"361",32
"362",72
"363",16
"364",63
"365",7
"366",-66
"367",11
"368",19
"369",67
"370",-16
"371",-29
"372",65
"373",-37
"374",20
"375",41
"376",-52
"377",-42
"378",-9
"379",16
"380",-11
"381",-40
"382",78
"383",-79
"384",-24
"385",-8
"386",9
"387",-39
"388",-13
"389",-31
"390",17
"391",70
"392",-19
"393",-19
"394",-25
"395",-27
"396",3
"397",-38
"398",-37
"399",21
"400",-48
"401",-30
"402",-33
"403",-51
"404",-71
"405",-17
"406",-4
"407",-38
"408",9
"409",-14
"410",-13
"411",21
"412",20
"413",-13
"414",2
"415",-49
"416",3
"417",54
"418",3
"419",38
"420",8
"421",22
"422",3
"423",-9
"424",94
"425",60
"426",-1
"427",7
"428",32
"429",-2
"430",-43
"431",-7
"432",-9
"433",-13
"434",47
"435",-1
"436",-34
"437",-12
"438",6
"439",-24
"440",34
"441",12
"442",35
"443",-23
"444",4
"445",8
"446",54
"447",19
"448",18
"449",9
"450",-1
"451",3
"452",-13
"453",39
"454",37
"455",47
"456",26
"457",19
"458",-22
"459",8
"460",8
"461",-13
"462",-2
"463",-2
"464",7
"465",-1
"466",10
"467",36
"468",6
"469",31
"470",-59
"471",-10
"472",-23
"473",13
"474",-28
"475",-20
"476",-26
"477",-17
"478",-22
"479",10
"480",9
"481",-42
"482",28
"483",5
"484",-32
"485",-8
"486",-3
"487",-2
"488",-42
"489",9
"490",3
"491",-22
"492",-80
"493",-32
"494",-39
"495",-44
"496",13
"497",-62
"498",-44
"499",13
"500",-38
"501",-38
"502",-35
"503",-28
"504",-49
"505",-22
"506",-36
"507",-16
"508",-33
"509",-50
"510",-7
"511",-55
"512",-44
"513",10
"514",91
"515",12
"516",-14
"517",-38
"518",41
"519",-106
"520",14
"521",-27
"522",38
"523",24
"524",52
"525",-20
"526",-22
"527",19
"528",9
"529",-15
"530",-41
"531",-14
"532",-25
"533",-30
"534",7
"535",6
"536",21
"537",-7
"538",-22
"539",63
"540",-49
"541",-7
"542",-37
"543",8
"544",12
"545",-19
"546",-36
"547",-38
"548",24
"549",7
"550",28
"551",8
"552",54
"553",32
"554",-5
"555",-12
"556",-11
"557",41
"558",30
"559",57
"560",12
"561",-20
"562",-8
"563",-12
"564",-21
"565",61
"566",21
"567",-6
"568",-13
"569",33
"570",63
"571",26
"572",-24
"573",-3
"574",23
"575",12
"576",-3
"577",50
"578",48
"579",41
"580",25
"581",7
"582",62
"583",3
"584",72
"585",-23
"586",32
"587",-1
"588",-37
"589",-31
"590",39
"591",-36
"592",-16
"593",49
"594",-31
"595",-27
"596",-2
"597",-9
"598",-8
"599",2
"600",-30
"601",-8
"602",-27
"603",29
"604",10
"605",-50
"606",21
"607",31
"608",4
"609",2
"610",-10
"611",-39
"612",-26
"613",12
"614",-35
"615",-69
"616",0
"617",-25
"618",6
"619",-16
"620",15
"621",16
"622",24
"623",-27
"624",15
"625",-34
"626",-4
"627",36
"628",36
"629",-14
"630",20
"631",-36
"632",31
"633",41
"634",15
"635",11
"636",0
"637",-17
"638",-37
"639",4
"640",-14
"641",-33
"642",-1
"643",15
"644",-1
"645",-49
"646",6
"647",-10
"648",22
"649",-26
"650",-27
"651",-43
"652",37
"653",34
"654",9
"655",-5
"656",41
"657",-40
"658",-18
"659",24
"660",-11
"661",-2
"662",46
"663",11
"664",31
"665",-14
"666",4
"667",-9
"668",14
"669",-21
"670",-37
"671",-16
"672",22
"673",49
"674",7
"675",-14
"676",-18
"677",46
"678",34
"679",-4
"680",29
"681",-9
"682",6
"683",24
"684",5
"685",-49
"686",-8
"687",-22
"688",-16
"689",-12
"690",-1
"691",-17
"692",7
"693",-21
"694",-23
"695",-15
"696",-26
"697",-17
"698",-47
"699",10
"700",-54
"701",18
"702",-7
"703",-42
"704",-54
"705",-29
"706",-13
"707",-13
"708",-5
"709",8
"710",-73
"711",-26
"712",-12
"713",4
"714",46
"715",-23
"716",-31
"717",42
"718",7
"719",42
"720",-15
"721",-12
"722",17
"723",-18
"724",-26
"725",18
"726",9
"727",14
"728",-29
"729",48
"730",4
"731",-85
"732",16
"733",-33
"734",-11
"735",40
"736",-18
"737",-13
"738",46
"739",-56
"740",10
"741",10
"742",25
"743",34
"744",43
"745",-1
"746",54
"747",55
"748",36
"749",20
"750",-6
"751",2
"752",-16
"753",38
"754",8
"755",8
"756",-38
"757",-18
"758",-10
"759",-46
"760",-58
"761",-72
"762",34
"763",-5
"764",-2
"765",14
"766",-18
"767",-8
"768",-37
"769",-52
"770",-3
"771",-37
"772",8
"773",8
"774",23
"775",-23
"776",55
"777",18
"778",-4
"779",73
"780",19
"781",5
"782",55
"783",23
"784",17
"785",22
"786",14
"787",62
"788",-23
"789",15
"790",33
"791",-55
"792",10
"793",-38
"794",-13
"795",-34
"796",-40
"797",-13
"798",-33
"799",-18
"800",-20
"801",25
"802",30
"803",-12
"804",27
"805",1
"806",25
"807",-16
"808",19
"809",-44
"810",5
"811",9
"812",1
"813",42
"814",-12
"815",-27
"816",-40
"817",-24
"818",-7
"819",1
"820",21
"821",-3
"822",23
"823",-17
"824",-81
"825",57
"826",-42
"827",-8
"828",-68
"829",12
"830",12
"831",14
"832",22
"833",21
"834",3
"835",2
"836",-42
"837",27
"838",45
"839",22
"840",-27
"841",5
"842",-35
"843",17
"844",49
"845",15
"846",-8
"847",-16
"848",46
"849",25
"850",18
"851",-1
"852",-28
"853",-9
"854",46
"855",11
"856",3
"857",11
"858",57
"859",12
"860",13
"861",6
"862",-63
"863",-22
"864",1
"865",-21
"866",-22
"867",-46
"868",18
"869",-29
"870",-38
"871",3
"872",4
"873",-25
"874",39
"875",-18
"876",12
"877",-23
"878",-15
"879",-8
"880",18
"881",14
"882",-16
"883",-6
"884",-61
"885",-35
"886",21
"887",0
"888",-4
"889",5
"890",-8
"891",-24
"892",-41
"893",21
"894",16
"895",-10
"896",-9
"897",30
"898",-37
"899",-16
"900",-34
"901",18
"902",-8
"903",11
"904",5
"905",12
"906",20
"907",-1
"908",-12
"909",42
"910",12
"911",-19
"912",5
"913",14
"914",8
"915",24
"916",3
"917",4
"918",-48
"919",-12
"920",22
"921",-12
"922",67
"923",-40
"924",-54
"925",-19
"926",15
"927",55
"928",15
"929",-4
"930",18
"931",-18
"932",7
"933",34
"934",9
"935",13
"936",67
"937",1
"938",9
"939",0
"940",33
"941",5
"942",-10
"943",-10
"944",-1
"945",-2
"946",-24
"947",-35
"948",-62
"949",27
"950",20
"951",-11
"952",7
"953",-7
"954",-18
"955",-6
"956",17
"957",-8
"958",23
"959",-37
"960",-1
"961",2
"962",-17
"963",-13
"964",26
"965",-22
"966",19
"967",-19
"968",53
"969",6
"970",14
"971",16
"972",-1
"973",-12
"974",-19
"975",13
"976",36
"977",11
"978",25
"979",15
"980",-47
"981",-27
"982",-35
"983",-36
"984",21
"985",-6
"986",-30
"987",31
"988",40
"989",-17
"990",5
"991",-29
"992",-5
"993",5
"994",8
"995",13
"996",-46
"997",3
"998",20
"999",46
"1000",-14
"1001",7
"1002",9
"1003",-24
"1004",-13
"1005",-50
"1006",2
"1007",18
"1008",5
"1009",17
"1010",28
"1011",-5
"1012",20
"1013",-51
"1014",28
"1015",25
"1016",41
"1017",-25
"1018",13
"1019",7
"1020",28
"1021",11
"1022",18
"1023",22
"1024",-13
"1025",4
"1026",9
"1027",7
"1028",-42
"1029",6
"1030",29
"1031",-23
"1032",-20
"1033",-12
"1034",-15
"1035",40
"1036",-17
"1037",-58
"1038",-7
"1039",37
"1040",6
"1041",-27
"1042",21
"1043",7
"1044",14
"1045",-5
"1046",-5
"1047",-1
"1048",9
"1049",-34
"1050",12
"1051",28
"1052",15
"1053",11
"1054",-23
"1055",-16
"1056",9
"1057",-35
"1058",-8
"1059",-44
"1060",42
"1061",-50
"1062",-30
"1063",-15
"1064",25
"1065",25
"1066",35
"1067",26
"1068",-5
"1069",8
"1070",15
"1071",56
"1072",-14
"1073",7
"1074",12
"1075",19
"1076",-5
"1077",-5
"1078",5
"1079",4
"1080",-25
"1081",24
"1082",-14
"1083",-33
"1084",-5
"1085",-13
"1086",9
"1087",6
"1088",-22
"1089",-33
"1090",17
"1091",-23
"1092",5
"1093",-37
"1094",-26
"1095",-36
"1096",-14
"1097",-22
"1098",-14
"1099",-10
"1100",20
"1101",-38
"1102",-10
"1103",13
"1104",-2
"1105",5
"1106",-1
"1107",-14
"1108",-4
"1109",34
"1110",7
"1111",-25
"1112",7
"1113",-27
"1114",21
"1115",4
"1116",14
"1117",6
"1118",12
"1119",28
"1120",-21
"1121",6
"1122",-43
"1123",-1
"1124",-21
"1125",-45
"1126",-29
"1127",-35
"1128",-72
"1129",4
"1130",-60
"1131",-67
"1132",16
"1133",-1
"1134",28
"1135",-35
"1136",4
"1137",-1
"1138",-6
"1139",16
"1140",-7
"1141",5
"1142",-16
"1143",19
"1144",27
"1145",12
"1146",-11
"1147",7
"1148",21
"1149",-5
"1150",3
"1151",37
"1152",-20
"1153",13
"1154",8
"1155",-18
"1156",1
"1157",21
"1158",-9
"1159",-12
"1160",1
"1161",-6
"1162",-5
"1163",21
"1164",13
"1165",-8
"1166",-8
"1167",5
"1168",-7
"1169",-11
"1170",35
"1171",-3
"1172",-11
"1173",-20
"1174",34
"1175",9
"1176",7
"1177",-24
"1178",11
"1179",-27
"1180",-3
"1181",52
"1182",2
"1183",-23
"1184",44
"1185",25
"1186",-1
"1187",31
"1188",2
"1189",-17
"1190",-14
"1191",32
"1192",-66
"1193",17
"1194",-13
"1195",-12
"1196",-27
"1197",-33
"1198",11
"1199",-20
"1200",-17
"1201",27
"1202",-5
"1203",-3
"1204",1
"1205",24
"1206",-37
"1207",33
"1208",51
"1209",62
"1210",4
"1211",19
"1212",10
"1213",39
"1214",8
"1215",26
"1216",26
"1217",33
"1218",23
"1219",54
"1220",5
"1221",28
"1222",-24
"1223",25
"1224",-82
"1225",5
"1226",33
"1227",12
"1228",4
"1229",15
"1230",-36
"1231",15
"1232",8
"1233",5
"1234",15
"1235",5
"1236",-19
"1237",5
"1238",-29
"1239",32
"1240",-46
"1241",-11
"1242",0
"1243",11
"1244",-23
"1245",-14
"1246",-40
"1247",-32
"1248",-32
